name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
SCHOOL SPECIALTY INC,2015,Q3,53491666.67,109890000,,,,,,,12880000,,,,18283500,33557333.33,-31182333.33,
SCHULMAN A INC,2013,Q1,258121500,314049500,,123151750,1,7.50E+07,47966000,,,,,12680500,,,,
SCHULMAN A INC,2013,Q2,250311000,,-519500,113810000,1,7.50E+07,48020500,,16199250,,,,20634750,225571500,,29329500
SCIVANTA MEDICAL CORP,2012,Q1,212505.5,,,78613,,,,30840728,,,,,,,,
SCIVANTA MEDICAL CORP,2012,Q2,213663,,,,,,,,,,,,,,,
SCIVANTA MEDICAL CORP,2012,Q3,,,,,0.001,1.00E+08,30840728,30840728,,,,,-254231,,-23241566.5,
SCIVANTA MEDICAL CORP,2013,Q1,,,,72475.5,0.001,1.00E+08,38217876,38217876,,,,,,,,
SCIVANTA MEDICAL CORP,2013,Q2,247873,,,,0.001,2.55E+08,4270537.5,4270537.5,,,,,-125230.5,,,
SCIVANTA MEDICAL CORP,2016,Q1,,,,,,,,,,,,,-19030,,-24450008.5,
SCOTTS MIRACLE-GRO CO,2010,Q3,,,-66466666.67,,0.01,,66266666.67,66266666.67,,,,,,,,
SCOTTS MIRACLE-GRO CO,2011,Q2,269800000,803133333.3,-67366666.67,,0.01,,66466666.67,66466666.67,,,,,,,484766666.7,66025000
SCOTTS MIRACLE-GRO CO,2011,Q3,,,-73666666.67,66783333.33,,,,65800000,183225000,,,,203966666.7,252222222.2,,65700000
SCOTTS MIRACLE-GRO CO,2012,Q1,,156266666.7,,70933333.33,,,,,,,,,,261600000,,63600000
SCOTTS MIRACLE-GRO CO,2012,Q2,114933333.3,315306666.7,,47010000,,,,,,,,,,157146666.7,,63350000
SCOTTS MIRACLE-GRO CO,2012,Q3,86880000,204546666.7,-75266666.67,,,,61900000,61900000,143600000,,,,,156893333.3,653600000,
SCOTTS MIRACLE-GRO CO,2013,Q1,85876923.08,102430769.2,,,,,,,,,,,,,,
SCOTTS MIRACLE-GRO CO,2014,Q2,134616666.7,277900000,-80266666.67,64187500,,,,,65593750,,,,74537500,213950000,678033333.3,61750000
SCOTTS MIRACLE-GRO CO,2015,Q1,107350000,94600000,-83333333.33,59225000,0.01,,,,-69650000,,,-52940000,-48862500,219816666.7,593900000,
SCOTTS MIRACLE-GRO CO,2015,Q2,139366666.7,275500000,,53325000,,,,,8.50E+07,,,,,,,
SCOTTS MIRACLE-GRO CO,2016,Q1,,,,,,,,,,,,,-103100000,445766666.7,597500000,
SCOTTS MIRACLE-GRO CO,2016,Q2,260466666.7,593666666.7,-103600000,68200000,0.01,,61233333.33,,,,,,249250000,,,
SCOTTS MIRACLE-GRO CO,2017,Q2,,757466666.7,,,,,,60366666.67,,,,,,,853066666.7,60650000
SCOTTS MIRACLE-GRO CO,2017,Q3,,343466666.7,,79450000,,,,,,,,239675000,,460400000,954500000,
SCOTTS MIRACLE-GRO CO,2018,Q1,,,-84833333.33,69175000,,,,,,,,,-66850000,456600000,,
SCOTTS MIRACLE-GRO CO,2018,Q3,,,,,0.01,,,,180375000,,,174325000,306850000,473933333.3,1039600000,57700000
SCOTTS MIRACLE-GRO CO,2019,Q1,203566666.7,172733333.3,,,0.01,,,55933333.33,-56100000,,,,,,893733333.3,56450000
SCOTTS MIRACLE-GRO CO,2019,Q2,,,,34800000,0.01,,,55433333.33,,,,,,502766666.7,,
SCOTTS MIRACLE-GRO CO,2019,Q3,,,,33300000,,,,,,,,253475000,,,,55700000
SCOTTS MIRACLE-GRO CO,2020,Q2,279200000,639400000,-93666666.67,29033333.33,0.01,,,55566666.67,,,,286600000,285100000,,,
"SCOUT EXPLORATION, INC",2013,Q1,,,,,0.001,5.00E+07,15991356,15991356,,,,,,,,
SEALY CORP,2012,Q1,,,,104386000,,,,,,,,167000,22789000,165501500,-1015959000,99367000
SEALY CORP,2012,Q2,,138879500,,94430750,,,,,,,,,,,,
"SECUREALERT, INC.",2011,Q1,2042980.5,,,,1.00E-04,6.00E+08,,299565353.5,,,,-3765703.5,-2803905,,,
"SECUREALERT, INC.",2011,Q2,1111823.667,,,1516827,1.00E-04,6.00E+08,,340208653,,,,-4839438.25,,1473613,-221439841.5,273219000
"SECUREALERT, INC.",2011,Q3,,,,1068587,,,,349868802,,,1143571.5,,-4457751.75,1432320,,299184250
"SECUREALERT, INC.",2012,Q1,,,,1138006.5,,,,,,,,-1839265.5,-1652161,1066882,-229864929.5,400430500
"SECUREALERT, INC.",2012,Q2,,,,969564.75,,,,,,,,,,,,
"SECUREALERT, INC.",2013,Q1,,,,1069481.25,1.00E-04,1.25E+09,,,,,533773.5,,,,,
"SECUREALERT, INC.",2013,Q2,1279673,,,1313172.75,1.00E-04,1.50E+07,,4478520,,,-1158268,,-1063421.75,449375.5,,
"SECUREALERT, INC.",2014,Q2,546338.5,,145972,3477522.5,,,,9935912,,,-1131811,-1853729,,455071,-267710493,
SEEN ON SCREEN TV INC.,2014,Q2,,,,3128.333333,,,,,,,,-322030.75,,,-36367773,46050451.5
SERVICE TEAM INC.,2012,Q2,7362,4760,,,,,,,,,,,,,,
SERVICE TEAM INC.,2012,Q3,6928,5089,,,,7.40E+07,6733250,6733250,,,,,,,,
SERVICE TEAM INC.,2013,Q1,6722,,,,0.001,7.40E+07,7707500,7707500,,,,-206681.6667,,,,
SERVICE TEAM INC.,2013,Q2,3361,,,19624.2,,7.40E+07,7707500,7707500,,,,,-215745.6,,,
SERVICE TEAM INC.,2014,Q2,122957,106910,,58305,,,,12408980.5,,,,-61910.75,,,-1227574.5,
SERVICE TEAM INC.,2014,Q3,143655.5,,,45494,,7.40E+07,12436480.5,,,,,,,,,
SERVICE TEAM INC.,2015,Q3,,,,,0.001,7.40E+07,12505647,12505647,,745.5,,,,,,
SERVICE TEAM INC.,2016,Q1,116993,,,14243.75,,,13430624,,,,,,,,-1689758,
SERVICE TEAM INC.,2017,Q3,140285,,,108015.25,0.001,,,,,,,,,51053,-2384266.5,
SERVICE TEAM INC.,2018,Q1,,,,,,,,,,,,,-10528,159666,,
SERVICE TEAM INC.,2019,Q2,,,,,0.001,2.00E+10,8852873544,8852873544,,,,,,168445,,
SERVICE TEAM INC.,2019,Q3,,,,,0.001,,,,,,,-72880.25,,,,8225110454
"SEVCON, INC.",2012,Q2,4353500,6137500,,1249500,,,,,1170000,,,,,,,
"SEVCON, INC.",2013,Q1,,,,1553750,0.1,8.00E+06,,,,,,,,,,
"SEVCON, INC.",2013,Q2,3088000,,-8911000,1726500,0.1,8.00E+06,,3476747.5,178000,,,,-117250,2080000,,
"SEVCON, INC.",2014,Q2,3978500,6792000,,1834250,,,,,,,,-91500,-252250,,,
"SEVCON, INC.",2014,Q3,,6967000,,,0.1,8.00E+06,,3524576.5,,,,25500,,,,3380250
"SEVCON, INC.",2015,Q2,4383000,,-9076000,,,,,,,,,,,,,
"SEVCON, INC.",2016,Q1,,8438000,,8546000,,,,,,,,,,,10659500,
"SEVCON, INC.",2016,Q2,7013500,9460500,-10270666.67,8664250,0.1,,,,,,,,-383000,,,
"SEVCON, INC.",2016,Q3,,,,8026750,,,,3956605.5,-667000,,,,,,,3710750
SEVILLE VENTURES CORP,2013,Q1,,,,,0.001,2.50E+08,5642870,5642870,,,,-41134,,,,
SEVILLE VENTURES CORP,2013,Q2,,,,,,2.50E+08,5642870,5642870,,,,,,,,
SEVILLE VENTURES CORP,2014,Q2,,,,,,,,,,,,-44507,,,,
SHAW GROUP INC,2011,Q2,798323500,,-130522000,,0,2.00E+08,91150530,84774843.5,,,,,,,496067500,84457500
SHAW GROUP INC,2012,Q3,740917500,,-109551333.3,599037250,,,,,,55245500,,-21249250,,512441000,416204000,
SHEA HOMES LIMITED PARTNERSHIP,2012,Q3,,,6793000,85229300,,,,,,3905000,,-23511200,,789000,2717200,
"SHEPHERDS FINANCE, LLC	6153	US	FL	JACKSONVILLE	32223	12276 SAN JOSE BLVD, SUITE 108		9045033989	US	FL	JACKSONVILLE	32223	12276 SAN JOSE BLVD, SUITE 108		US	PA	364608739			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 13:40:00.0	0	1	sheph-20170630.xml	1	
0001493152-17-008449	793524	RESEARCH FRONTIERS INC	6794	US	NY	WOODBURY	11797-2033	240 CROSSWAYS PARK DR		5163641902	US	NY	WOODBURY	11797-2033	240 CROSSWAYS PARK DR		US	DE	112103466			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:01:00.0	0	1	refr-20170630.xml	1	
0001493152-17-008452	752642	UMH PROPERTIES, INC.	6798	US	NJ	FREEHOLD	07728	3499 ROUTE 9 N, SUITE 3-C	JUNIPER BUSINESS PLAZA	7325779997	US	NJ	FREEHOLD	07728	3499 ROUTE 9 N, SUITE 3-C	JUNIPER BUSINESS PLAZA	US	MD	221890929	UNITED MOBILE HOMES INC	19920703	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:12:00.0	0	1	umh-20170630.xml	1	
0001493152-17-008463	1582982	MEDICAL TRANSCRIPTION BILLING, CORP	7372	US	NJ	SOMERSET	08873	7 CLYDE ROAD	SOMERSET	7328735133	US	NJ	SOMERSET	08873	7 CLYDE ROAD	SOMERSET	US	DE	223832302			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:32:00.0	0	1	mtbc-20170630.xml	1	
0001493152-17-008508	1442711	CYCLONE POWER TECHNOLOGIES INC	3621	US	FL	POMPANO BEACH	33064	601 NE 26TH COURT		954-943-8721	US	FL	POMPANO BEACH	33064	601 NE 26TH COURT		US	FL	000000000			5-SML	0	1231	10-Q	20170331	2017	Q1	20170804	2017-08-03 20:14:00.0	1	1	cypw-20170331.xml	1	
0001493152-17-008520	1335105	LIXTE BIOTECHNOLOGY HOLDINGS, INC.	2834	US	NY	EAST SETAUKET	11733	248 ROUTE 25A	NO. 2	310 203 2902	US	NY	EAST SETAUKET	11733	248 ROUTE 25A	NO. 2	US	DE	202903526	SRKP 7 INC	20050803	5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 08:31:00.0	0	1	lixt-20170630.xml	1	
0001493152-17-008529	1533106	GLOBAL EQUITY INTERNATIONAL INC	8742	AE		DUBAI	340100	OFFICE 3305, JUMEIRAH BAY TOWER X3	PO BOX 454332, JUMEIRAH LAKE TOWERS	(971) 42 76	AE		DUBAI	340100	OFFICE 3305, JUMEIRAH BAY TOWER X3	PO BOX 454332, JUMEIRAH LAKE TOWERS	US	NV	273986073			5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 12:30:00.0	0	1	gequ-20170630.xml	1	
0001493152-17-008543	748592	NTN BUZZTIME INC	4833	US	CA	CARLSBAD	92008	2231 RUTHERFORD ROAD		7604387400	US	CA	CARLSBAD	92008	2231 RUTHERFORD ROAD		US	DE	311103425	NTN COMMUNICATIONS INC	19920703	5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 16:17:00.0	0	1	ntn-20170630.xml	1	
0001493152-17-008570	1685616	OXYGEN THERAPY, INC.	2834	US	MA	NEWTON	02464	233 NEEDHAM STREET	SUITE 300	617-454-1199	US	MA	NEWTON	02464	233 NEEDHAM STREET	SUITE 300	US	DE	812723728			5-SML	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 06:17:00.0	0	1	oti-20170630.xml	1	
0001493152-17-008571	1460702	RITTER PHARMACEUTICALS INC	2834	US	CA	LOS ANGELES	90067	1880 CENTURY PARK EAST, SUITE 1000		310-203-1000	US	CA	LOS ANGELES	90067	1880 CENTURY PARK EAST, SUITE 1000		US	DE	263474527			5-SML	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 06:17:00.0	0	1	rttr-20170630.xml	1	
0001493152-17-008580	1317945	OMEGA FLEX, INC.	3430	US	PA	EXTON	19341	451 CREAMERY WAY		610-524-7272	US	PA	EXTON	19341	451 CREAMERY WAY		US	PA	231948942			2-ACC	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 11:01:00.0	0	1	oflx-20170630.xml	1	
0001493152-17-008582	1142790	TAURIGA SCIENCES, INC.	2833	US	CT	DANBURY	06180	39 OLD RIDGEBURY ROAD		917-796-9926	US	CT	DANBURY	06180	39 OLD RIDGEBURY ROAD		US	FL	651102237	IMMUNOVATIVE, INC.	20120503	5-SML	0	0331	10-Q	20170630	2017	Q1	20170807	2017-08-07 11:55:00.0	0	1	taug-20170630.xml	1	
0001493152-17-008589	1205181	IMAGING3 INC	3844	US	CA	BURBANK	91505	3200 W. VALHALLA DRIVE		8182600930	US	CA	BURBANK	91505	3200 W. VALHALLA DRIVE		US	CA	954451059			5-SML	0	1231	10-Q/A	20170630	2017	Q2	20170807	2017-08-07 15:12:00.0	0	1	imggq-20170630.xml	1	
0001493152-17-008653	1196298	NEPHROS INC	3841	US	NJ	RIVER EDGE,	07661	41 GRAND AVENUE		201.343.5202	US	NJ	RIVER EDGE,	07661	41 GRAND AVENUE		US	DE	133971809			5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:07:00.0	0	1	neph-20170630.xml	1	
0001493152-17-008654	946454	BALLANTYNE STRONG, INC.	3861	US	NE	OMAHA	68112	4350 MCKINLEY ST		4024534444	US	NE	OMAHA	68112	4350 MCKINLEY ST		US	DE	470587703	BALLANTYNE OF OMAHA INC	19950608	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:17:00.0	0	1	btn-20170630.xml	1	
0001493152-17-008668	1412486	COCRYSTAL PHARMA, INC.	2834	US	GA	TUCKER	30084	1860 MONTREAL ROAD		(425) 398-71	US	GA	TUCKER	30084	1860 MONTREAL ROAD		US	DE	352528215	BIOZONE PHARMACEUTICALS, INC.	20110304	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:31:00.0	0	1	cocp-20170630.xml	1	
0001493152-17-008672	1433607	INSPIREMD, INC.	3841	IL		TEL AVIV	6744832	4 MENORAT HAMAOR ST.		(888) 776-68	IL		TEL AVIV	6744832	4 MENORAT HAMAOR ST.		US	DE	262123838	SAGUARO RESOURCES, INC.	20080428	5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:38:00.0	0	1	nspr-20170630.xml	1	
0001493152-17-008676	1419554	BONE BIOLOGICS CORP	3842	US	MA	BURLINGTON	01803	2 BURLINGTON WOODS DRIVE,	SUITE 100,	(781) 552-44	US	MA	BURLINGTON	01803	2 BURLINGTON WOODS DRIVE,	SUITE 100,	US	DE	421743430	BONE BIOLOGICS, CORP.	20140924	5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 17:07:00.0	0	1	bblg-20170630.xml	1	
0001493152-17-008699	1538329	UBIQUITY, INC.	7374	US	CA	IRVINE,	92618	9801 RESEARCH DRIVE		7029970504	US	CA	IRVINE,	92618	9801 RESEARCH DRIVE		US	NV	990371375	UBIQUITY BROADCASTING CORP	20130306	5-SML	0	1231	10-Q	20160630	2016	Q2	20170809	2017-08-09 06:17:00.0	0	1	ubiq-20160630.xml	1	
0001493152-17-008710	1534708	EASTSIDE DISTILLING, INC.	2080	US	OR	PORTLAND	97222	2150 SE HANNA HARVESTER DRIVE		971-888-4264	US	OR	PORTLAND	97222	2150 SE HANNA HARVESTER DRIVE		US	NV	203937596	EUROCAN HOLDINGS LTD.	20111110	5-SML	0	1231	S-1/A	20170331	2017	Q1	20170809	2017-08-09 08:33:00.0	0	1	esdi-20170331.xml	1	
0001493152-17-008712	1595097	CORBUS PHARMACEUTICALS HOLDINGS, INC.	2834	US	MA	NORWOOD	02062	100 RIVER RIDGE DRIVE		617-963-0103	US	MA	NORWOOD	02062	100 RIVER RIDGE DRIVE		US	DE	464348039	SAV ACQUISITION CORP	20131220	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170809	2017-08-09 09:02:00.0	0	1	crbp-20170630.xml	1	
0001493152-17-008722	933738	ENGLOBAL CORP	8711	US	TX	HOUSTON	77060-5914	654 N. SAM HOUSTON PKWY E	SUITE 400	281-878-1000	US	TX	HOUSTON	77060-5914	654 N. SAM HOUSTON PKWY E	SUITE 400	US	NV	880322261	INDUSTRIAL DATA SYSTEMS CORP	19970123	5-SML	0	1231	10-Q	20170630	2017	Q2	20170809	2017-08-09 11:09:00.0	0	1	eng-20170701.xml	1	
0001493152-17-008731	1685311	BAGGER DAVES BURGER TAVERN, INC.",2017,Q3,,,,,,,,,,,,194750,,360500,,
SHFL ENTERTAINMENT INC.,2013,Q1,6269000,41028500,,26843000,0.01,151368000,56086000,,,,6452500,7356500,,,,
SHFL ENTERTAINMENT INC.,2013,Q3,,,23675000,,,,,,8688750,,,,,,,
"SHIFTPIXY, INC.",2018,Q1,1466896,449989.5,,,,,,28781140,,17010,,-1481559,,,-11070835.5,27490825
"SHIFTPIXY, INC.",2018,Q2,1260200.5,310350,,,,,,,,,,,,674983,-12430277,
"SHIFTPIXY, INC.",2019,Q2,,,,,1.00E-04,7.50E+08,30484556.5,30484556.5,,,,,-3630646.25,,,
"SHIFTPIXY, INC.",2020,Q1,,,,1876800,,,845129.6667,,,,,,-6217750,,,
"SHIFTPIXY, INC.",2020,Q2,,641500,,979000,1.00E-04,7.50E+08,1005345,,,322250,,2451750,-5764000,,,
SHILOH INDUSTRIES INC,2012,Q2,62399500,,,61500,,,,,,,,,,119523000,,
SHILOH INDUSTRIES INC,2013,Q1,,,,139000,0.01,2.50E+07,16990095.5,,,,4653000,,,,,
SHILOH INDUSTRIES INC,2013,Q2,,,-31311000,101750,0.01,2.50E+07,16992345.5,16992345.5,7617500,,9597000,,12459750,136367500,,16909750
SHILOH INDUSTRIES INC,2014,Q1,,,-26286000,,0.01,2.50E+07,17081550,,3557000,,,,,,,
SHILOH INDUSTRIES INC,2014,Q3,,,,3082500,0.01,2.50E+07,17111747.5,17111747.5,,,17228500,12540750,,,,17051000
SHILOH INDUSTRIES INC,2015,Q1,144750000,,,5121000,0.01,,,,,,7575500,4306000,,,,
SHILOH INDUSTRIES INC,2015,Q2,148714500,,-33824500,,,,,,8546750,,,,,,,
SHILOH INDUSTRIES INC,2015,Q3,150631500,,,,,,17232233.5,,6914250,,,,17511250,274730500,118582000,
SHILOH INDUSTRIES INC,2017,Q1,159157500,,,,,5.00E+07,,,,,,,,,,
SHILOH INDUSTRIES INC,2017,Q2,,,,,,,,17744649.5,5414250,,,,,,119778500,17719000
SHILOH INDUSTRIES INC,2017,Q3,153301500,,,10160750,,,,,,,,-1006750,,266651000,118787500,
SHILOH INDUSTRIES INC,2018,Q2,,,-41508000,,0.01,5.00E+07,,,,,20757000,,11245750,,122417500,
SHILOH INDUSTRIES INC,2019,Q1,173074500,,-49644500,,0.01,5.00E+07,23260168.5,23260168.5,5716500,,10988500,,,,133464000,
SHILOH INDUSTRIES INC,2019,Q2,,,,15213000,0.01,5.00E+07,23260168.5,23260168.5,,,,,,322767500,,
SHILOH INDUSTRIES INC,2020,Q1,,,,,0.01,62500000,23485913.5,23485913.5,-2738500,,,-4189000,,326552500,,
SHOSHONE SILVER/GOLD MINING CO,2012,Q2,,,,273454.25,,,,,,,,,,,,
SHUFFLE MASTER INC,2011,Q3,,,34641500,18624250,,,53903000,53903000,,,17767500,,19593250,12921000,,53820250
SHUFFLE MASTER INC,2012,Q1,,,,,,,,,,,,6226500,9082500,12822000,84662500,54598000
SHUFFLE MASTER INC,2012,Q2,,39332500,,18031000,,,,,,,,,,,,
"SIBANNAC, INC.",2016,Q1,,60733,,,,,17527194,,,,,,,,-16938,
"SIBANNAC, INC.",2016,Q2,,45452,,,,,,9777097,,,1286,,-91856,,,
SIFCO INDUSTRIES INC,2011,Q3,,,-10968000,,,,,5272000,,,2224000,,4349000,24231000,,5297750
SIFCO INDUSTRIES INC,2012,Q1,9008500,,-12646000,10037750,,,,5299000,,,,1196000,1711500,29875500,,5279000
SIFCO INDUSTRIES INC,2013,Q1,8866000,,,6485000,1,1.00E+07,5366000,,,,1549000,2300500,,,,
SIFCO INDUSTRIES INC,2013,Q2,9118500,,-12192500,6565000,1,1.00E+07,5386500,5386500,3068500,,2270500,,2761000,29648000,,
SIFCO INDUSTRIES INC,2018,Q2,13021000,,-8664500,,1,1.00E+07,5643500,,-2224000,,4629000,,,,42792500,
SIFCO INDUSTRIES INC,2018,Q3,13603500,,,,1,,,,-5228000,,,-5670500,-4792250,37896500,42026500,5509500
SIFCO INDUSTRIES INC,2019,Q1,14863000,,,,1,1.00E+07,5713000,5713000,-1018000,,2060500,,,,38255500,5518500
SIFCO INDUSTRIES INC,2019,Q2,,,,,1,1.00E+07,5731500,5731500,,,,,,35364000,,
SIFCO INDUSTRIES INC,2019,Q3,,,,976500,1,,,,,,,-5823500,,,,5546500
SIFCO INDUSTRIES INC,2020,Q1,,,,385000,,,5820000,5820000,,,,,-1399500,,,
SIGA RESOURCES INC.,2012,Q3,136594.5,,,,0.001,5.00E+08,45025000,45025000,,,,,,,,
SIGA RESOURCES INC.,2014,Q1,,,,,0.001,4.50E+08,45105000,,,,,,,,,
SILVERSTAR MINING CORP.,2011,Q3,,,,949.4285714,,,42168837,42168837,,,,,-327683.8,,,
SILVERSTAR MINING CORP.,2012,Q1,,,,6750.8,,,,,,,,-285613.2727,,,,
SILVERSTAR MINING CORP.,2012,Q2,,,,2489.5,,,,,,,,,,,,
SILVERSTAR MINING CORP.,2012,Q3,,,,,1,225000,105671,105671,,,,,,,,
SILVERSTAR MINING CORP.,2013,Q1,,,,8250.25,0.001,1.75E+08,169179,,,,,-291368.5,,,,
SILVERSTAR MINING CORP.,2014,Q3,,,,2409.75,,2.25E+08,6629314.5,,,,,,-220261.25,,,
"SILVERSTAR RESOURCES, INC.",2015,Q1,,,,1536.5,,,,,,,,,-66251,,,
"SILVERSTAR RESOURCES, INC.",2015,Q2,,,,1548.25,,,,,,,,,,,,
SIMPLY GOOD FOODS CO,2018,Q1,,,-330500,59688000,,,,,,,,,19286000,,,
SIMPLY GOOD FOODS CO,2020,Q2,,,-906500,160831000,0.01,6.00E+08,88724910.5,,,5472000,,11281000,26684750,,,
SIMULATIONS PLUS INC,2012,Q2,,1673308.5,,10453157,,,,,,,,,,,,
SIMULATIONS PLUS INC,2013,Q1,,,,11730935.5,0.001,5.00E+07,15925412.5,,,,9863.5,,,,,
SIMULATIONS PLUS INC,2013,Q2,,1993840,,11469478.75,0.001,5.00E+07,15972164,15972164,,,20318,,1778137.75,100750.5,,15802651.25
SIMULATIONS PLUS INC,2014,Q2,226367,2300593.5,,10584162.75,,,,16096677,,,22436,1253754.75,,,9417492,16038946.75
SIMULATIONS PLUS INC,2016,Q1,,2818071.5,,7527973.5,,,16969501,,,,,,,,9940834.5,
SIMULATIONS PLUS INC,2016,Q2,,2700894,,,,,,16980501,,105716.5,723250,,2214643.75,365264.5,,16920025
SIMULATIONS PLUS INC,2017,Q1,159955.5,,,,,5.00E+07,,17227978,,,,,1827814.5,,,17096140.5
SIMULATIONS PLUS INC,2017,Q2,164733,3838868,,,,,17227978,17227978,,,,,,268506,11766516.5,17113530.25
SIMULATIONS PLUS INC,2017,Q3,159878,,,8027359.75,0.001,,,,,,,,,256966.5,12375515.5,
SIMULATIONS PLUS INC,2018,Q2,202874.5,,,,0.001,5.00E+07,,,,,892029.75,,,,15245786.5,
SIMULATIONS PLUS INC,2018,Q3,,,,,0.001,5.00E+07,17318024,17318024,,,1191216.5,4180062,,285120,15928185.5,17280928
SIMULATIONS PLUS INC,2019,Q2,320683.5,,,,,,,17458201.5,,,,,3736319,319100.5,18885786,17380206.5
SINGLE TOUCH SYSTEMS INC,2012,Q3,,,,,,2.00E+08,131557392,131557392,,325863.75,,,,276611.5,-122526901,129467617.3
SINGLE TOUCH SYSTEMS INC,2013,Q1,,,,,0.001,2.00E+08,132472392,132472392,,155128.5,,-1430675.5,,,,131327392
"SINO-GLOBAL SHIPPING AMERICA, LTD.",2018,Q2,400896.6667,,-276702.6667,,2.34,5.00E+07,,,794576,,31012,,,,-1797240.333,
SIONIX CORP,2011,Q3,,,,,,,,251738422.5,,,,,-1509876.75,35811.5,,202867497.8
SIONIX CORP,2012,Q1,546147,,,49619.5,,,,303535577,,,,-1212546.5,-917577.5,27766,,265722461
SIONIX CORP,2012,Q2,421748,,,316622,,,,,,,,,,,,
SIONIX CORP,2012,Q3,,,,,,,324577555.5,334544974,,,,,-2087764.25,83708.5,-33944789,293188342.3
SIONIX CORP,2013,Q2,,,,653737.75,0.001,6.00E+08,419607447,419607447,,,,,-1696376.75,99455.5,,374875891.3
"SIRONA DENTAL SYSTEMS, INC.",2012,Q1,,109818000,4914750,242163000,,,,,,,,40334500,,1.29E+08,,
"SIRONA DENTAL SYSTEMS, INC.",2012,Q3,44479500,107672000,17095833.33,,0.01,9.50E+07,56385252,55543080.5,,58973000,,,92141250,130546000,353187000,55710310.75
"SIRONA DENTAL SYSTEMS, INC.",2013,Q1,,139069000,,,0.01,9.50E+07,56687335.5,,,18583500,,38289500,,,,
"SIRONA DENTAL SYSTEMS, INC.",2013,Q2,59701500,,,182706250,0.01,9.50E+07,56733332,55268054.33,46379750,,,,,,,
"SIRONA DENTAL SYSTEMS, INC.",2014,Q1,,,-2495500,,0.01,9.50E+07,57330409,,57435500,,,41236500,,,,
"SIRONA DENTAL SYSTEMS, INC.",2014,Q3,,158550000,-5700000,223925000,0.01,9.50E+07,57486845,55173896,90075000,5.60E+07,,,117625000,206500000,,
SIRRUS CORP.,2017,Q2,,,,10380.25,0,,,35763339,,,,,,,-148326.5,
SIRRUS CORP.,2018,Q1,,,,,,,,1430533560,,,,-106422,-98913.5,,-742474,
SIRRUS CORP.,2018,Q2,,2500,,,,,,,,,,,,,-997349.5,
"SITO MOBILE, LTD.",2016,Q1,,,,2308562.667,,,17155478,,,,,,,,-139131763.5,
"SITO MOBILE, LTD.",2017,Q2,,8230264,,,,,,20681047,,,,,,,-142308544.5,18951229.5
SKYWORKS SOLUTIONS INC,2010,Q3,,,-1380000,,0.25,5.25E+08,180483500,175247000,,,,,,,,
SKYWORKS SOLUTIONS INC,2011,Q2,111958000,,-1297000,,0.25,5.25E+08,189675500,183103500,,,,,,,-272446000,178397750
"SKYWORKS SOLUTIONS, INC.",2011,Q3,,,-1297000,377736750,,,190175500,183208500,,,,,119410750,228559000,,
"SKYWORKS SOLUTIONS, INC.",2012,Q1,105660000,,,439758500,,,,,,,,,,245883000,,182331000
"SKYWORKS SOLUTIONS, INC.",2012,Q2,,,,,,,,,,,,,,251838500,,
"SKYWORKS SOLUTIONS, INC.",2012,Q3,125443500,,-1334000,,0.25,5.25E+08,198190500,188388500,,,,,,258702000,-31037000,184451250
"SKYWORKS SOLUTIONS, INC.",2013,Q1,,,,384888500,0.25,5.25E+08,204066538.5,,,,,,,,,
"SKYWORKS SOLUTIONS, INC.",2013,Q2,,,-1600000,,,5.25E+08,204350000,191700000,78775000,,,,,286850000,,186900000
"SKYWORKS SOLUTIONS, INC.",2013,Q3,,,,,,,,,,,,112350000,,,,
"SKYWORKS SOLUTIONS, INC.",2014,Q2,126150000,,,518700000,,,,,,,,109550000,136300000,,,
"SKYWORKS SOLUTIONS, INC.",2014,Q3,145250000,,,527950000,0.25,5.25E+08,210400000,188550000,,,,,,,,
